Control Framework,Control Code,Control Title,Status,Evidence Required,Compensating Controls,Severity,Assessment Date
CMMC,AC.L1-3.1.1,Limit information system access to authorized users,Not Assessed,User access logs; Active Directory configuration,,,
CMMC,AC.L1-3.1.2,Limit information system access to authorized transactions,Not Assessed,Transaction logs; Authorization matrices,,,
CMMC,AC.L2-3.1.3,Control the flow of CUI,Not Assessed,Data flow diagrams; DLP policies,,,
CMMC,AC.L2-3.1.4,Separate duties of individuals,Not Assessed,Role separation documentation; SOD matrix,,,
CMMC,AC.L2-3.1.5,Employ least privilege,Not Assessed,Permission audits; Access reviews,,,
CMMC,AC.L2-3.1.6,Use non-privileged accounts,Not Assessed,Admin account usage logs; Privilege escalation logs,,,
NIST800171,3.1.1,Limit system access to authorized users,Not Assessed,Access control lists; Authentication logs,,,
NIST800171,3.1.2,Limit system access to authorized transactions,Not Assessed,Function-level access controls,,,
NIST800171,3.1.3,Control the flow of CUI,Not Assessed,Information flow controls; Network segmentation,,,
NIST800171,3.1.5,Employ least privilege,Not Assessed,Privilege management documentation,,,
NIST800171,3.5.3,Use multifactor authentication,Not Assessed,MFA enrollment reports; MFA logs,,,
NIST800171,3.13.8,Implement cryptographic mechanisms,Not Assessed,Encryption configuration; TLS certificates,,,
NIST800171,3.13.11,Employ FIPS-validated cryptography,Not Assessed,FIPS compliance documentation,,,
NIST800171,3.14.6,Monitor information systems,Not Assessed,SIEM dashboards; IDS/IPS logs,,,
STIG,WN10-AC-000010,Account lockout threshold,Not Assessed,Group Policy settings; Lockout policy documentation,,,
STIG,APSC-DV-000160,Enforce approved authorizations,Not Assessed,Authorization architecture; Access control design,,,
STIG,APSC-DV-002560,Protect confidentiality of transmitted information,Not Assessed,TLS/SSL configuration; Encryption in transit evidence,,,

